icao24,callsign,paese,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp_raccolta
4bc84e,PGT1149 ,Turkey,1787658187,1787658188,7.6258,43.4746,1127.76,False,83.44,318.25,-1.95,,1219.2,6407,False,0,2026-08-25 11:43:14.978701
4401e8,EJU61VB ,Austria,1787658185,1787658186,10.785,40.7882,11582.4,False,247.88,85.0,0.0,,12199.62,1000,False,0,2026-08-25 11:43:14.978701
4bc85a,PGT80EF ,Turkey,1787658188,1787658188,14.0486,44.8753,9738.36,False,203.42,280.34,0.0,,10172.7,2343,False,0,2026-08-25 11:43:14.978701
3946e5,AFR75EB ,France,1787658187,1787658188,18.4717,39.6672,10972.8,False,217.16,311.73,0.33,,11620.5,,False,0,2026-08-25 11:43:14.978701
4bc894,PGT1101 ,Turkey,1787658188,1787658188,13.6303,44.439,10363.2,False,202.1,259.29,0.0,,10858.5,4150,False,0,2026-08-25 11:43:14.978701
44008f,AUA465  ,Austria,1787658187,1787658188,13.417,44.5392,10660.38,False,214.41,210.26,-0.33,,11140.44,7161,False,0,2026-08-25 11:43:14.978701
738061,ELY224  ,Israel,1787658188,1787658188,13.7116,41.2531,10942.32,False,257.46,114.06,-4.23,,11544.3,1255,False,0,2026-08-25 11:43:14.978701
73805c,ELY860  ,Israel,1787658188,1787658188,13.9309,46.7211,11277.6,False,244.93,133.21,0.0,,11704.32,7667,False,0,2026-08-25 11:43:14.978701
44004c,OEKMA   ,Austria,1787658187,1787658187,15.6833,46.5519,708.66,False,51.78,20.96,5.85,,784.86,7006,False,0,2026-08-25 11:43:14.978701
3c4a10,DLH568  ,Germany,1787658186,1787658188,7.4233,40.1129,11277.6,False,251.11,183.88,-0.33,,11940.54,2507,False,0,2026-08-25 11:43:14.978701
440047,EJU32BZ ,Austria,1787658187,1787658188,9.2548,45.5065,1143.0,False,86.81,335.87,6.5,,1211.58,1000,False,0,2026-08-25 11:43:14.978701
738053,ELY396  ,Israel,1787658188,1787658188,17.9696,38.7721,10668.0,False,256.78,107.13,0.0,,11300.46,1244,False,0,2026-08-25 11:43:14.978701
